tags,ner_tags,GPT_predicted_tags,AttentionEncoderCRFPrediction
"['REDIRECTION', 'Georg', 'Emil', 'Hansen']","['O', 'B-PER', 'I-PER', 'I-PER']","['O', 'B-PER', 'I-PER', 'I-PER']","['O', 'B-PER', 'I-PER', 'I-PER']"
"['Charles', 'de', 'Secondat', ',', 'baron', 'de', 'Montesquieu']","['B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER']","['B-PER', 'I-PER', 'I-PER', 'O', 'O', 'I-PER', 'I-PER']","['B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER']"
"['Les', 'deux', 'équipes', 'sont', 'qualifiées', 'pour', 'la', 'phase', 'finale', 'nationale', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']"
"['REDIRECTION', 'Nielsen', '(', 'entreprise', ')']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['O', 'B-PER', 'O', 'B-ORG', 'O']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Mouvement', 'national', 'pour', 'la', 'libération', 'de', ""l'Azawad""]","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['O', 'B-ORG', 'I-ORG', 'O', 'I-ORG', 'O', 'B-LOC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['|', '18e', 'armée', '(', 'Allemagne', ')']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['O', 'O', 'B-ORG', 'O', 'B-LOC', 'O']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Musée', 'des', 'beaux-arts', 'de', 'Lyon']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'O', 'I-ORG', 'O', 'B-LOC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Karen', 'Hækkerup', '(', '1974-', ')']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']"
"['===', 'Provadiya', '(', 'obchtina', ')', '===']","['O', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'O']","['O', 'B-LOC', 'O', 'O', 'O', 'O']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']"
"['On', 'pense', 'que', 'les', 'premiers', 'toriis', 'se', 'sont', 'développés', 'au', 'Japon', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['REDIRECTION', 'Front', 'national', 'de', 'libération', 'du', 'Sud', 'Viêt', 'Nam']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['==', 'Assemblée', 'législative', '(', '1791-1792', ')', '==']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']","['O', 'B-ORG', 'I-ORG', 'O', 'B-LOC', 'O', 'O']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']"
"['The', 'Yes', 'Album', ""''"", '–', 'Yes']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG']","['O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-ORG']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG']"
"['Le', 'Guide', 'du', 'voyageur', 'galactique']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['O', 'B-MISC', 'O', 'O', 'I-MISC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"[""'"", ""''"", 'Honda', ""''"", ""'""]","['O', 'O', 'B-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'O', 'O']"
"['Liste', 'des', 'dépendances', 'et', 'territoires', 'à', 'souveraineté', 'spéciale']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"['Cap', 'de', 'la', 'Chèvre']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"[""'"", ""''"", 'Olimpia', 'Milan', ""''"", ""'""]","['O', 'O', 'B-ORG', 'I-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'B-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'I-ORG', 'O', 'O']"
